prompt_id,prompt,n_images,num_objects_acc,n_num_objects_correct,n_num_relation_is_correct,relation_acc_cond_on_num_objects_correct
0,A cat is on the left of a dog.,20,40.0,8,7,87.5
1,A dog is on the right of a cat.,20,25.0,5,3,60.0
2,A cat is on the right of a dog.,20,30.0,6,2,33.33
3,A dog is on the left of a cat.,20,25.0,5,2,40.0
4,An apple is on the left of a banana.,20,35.0,7,5,71.43
5,A banana is on the right of an apple.,20,30.0,6,2,33.33
6,An apple is on the right of a banana.,20,30.0,6,3,50.0
7,A banana is on the left of an apple.,20,15.0,3,2,66.67
8,A car is on the left of a bicycle.,20,20.0,4,3,75.0
9,A bicycle is on the right of a car.,20,0.0,0,0,
10,A car is on the right of a bicycle.,20,5.0,1,1,100.0
11,A bicycle is on the left of a car.,20,35.0,7,6,85.71
12,A cup is on the left of a plate.,20,65.0,13,5,38.46
13,A plate is on the right of a cup.,20,50.0,10,3,30.0
14,A cup is on the right of a plate.,20,80.0,16,9,56.25
15,A plate is on the left of a cup.,20,45.0,9,7,77.78
16,A book is on the left of a pencil.,20,25.0,5,4,80.0
17,A pencil is on the right of a book.,20,45.0,9,5,55.56
18,A book is on the right of a pencil.,20,25.0,5,2,40.0
19,A pencil is on the left of a book.,20,20.0,4,4,100.0
20,A chair is on the left of a table.,20,55.0,11,10,90.91
21,A table is on the right of a chair.,20,40.0,8,6,75.0
22,A chair is on the right of a table.,20,80.0,16,9,56.25
23,A table is on the left of a chair.,20,45.0,9,4,44.44
24,The sun is on the left of the moon.,20,0.0,0,0,
25,The moon is on the right of the sun.,20,0.0,0,0,
26,The sun is on the right of the moon.,20,0.0,0,0,
27,The moon is on the left of the sun.,20,0.0,0,0,
28,A tree is on the left of a house.,20,25.0,5,4,80.0
29,A house is on the right of a tree.,20,25.0,5,2,40.0
30,A tree is on the right of a house.,20,45.0,9,2,22.22
31,A house is on the left of a tree.,20,55.0,11,8,72.73
32,A train is on the left of a bus.,20,0.0,0,0,
33,A bus is on the right of a train.,20,0.0,0,0,
34,A train is on the right of a bus.,20,10.0,2,1,50.0
35,A bus is on the left of a train.,20,0.0,0,0,
36,A spoon is on the left of a fork.,20,5.0,1,1,100.0
37,A fork is on the right of a spoon.,20,15.0,3,0,0.0
38,A spoon is on the right of a fork.,20,10.0,2,2,100.0
39,A fork is on the left of a spoon.,20,10.0,2,2,100.0
40,A camera is on the left of a phone.,20,0.0,0,0,
41,A phone is on the right of a camera.,20,0.0,0,0,
42,A camera is on the right of a phone.,20,0.0,0,0,
43,A phone is on the left of a camera.,20,0.0,0,0,
44,A shoe is on the left of a sock.,20,0.0,0,0,
45,A sock is on the right of a shoe.,20,0.0,0,0,
46,A shoe is on the right of a sock.,20,0.0,0,0,
47,A sock is on the left of a shoe.,20,0.0,0,0,
48,A hat is on the left of a scarf.,20,20.0,4,4,100.0
49,A scarf is on the right of a hat.,20,50.0,10,2,20.0
50,A hat is on the right of a scarf.,20,15.0,3,1,33.33
51,A scarf is on the left of a hat.,20,55.0,11,6,54.55
52,A lion is on the left of a zebra.,20,30.0,6,2,33.33
53,A zebra is on the right of a lion.,20,40.0,8,2,25.0
54,A lion is on the right of a zebra.,20,35.0,7,3,42.86
55,A zebra is on the left of a lion.,20,15.0,3,3,100.0
56,A robot is on the left of an astronaut.,20,20.0,4,3,75.0
57,An astronaut is on the right of a robot.,20,50.0,10,2,20.0
58,A robot is on the right of an astronaut.,20,10.0,2,2,100.0
59,An astronaut is on the left of a robot.,20,30.0,6,2,33.33
60,A guitar is on the left of a piano.,20,40.0,8,7,87.5
61,A piano is on the right of a guitar.,20,35.0,7,2,28.57
62,A guitar is on the right of a piano.,20,35.0,7,2,28.57
63,A piano is on the left of a guitar.,20,30.0,6,2,33.33
64,A clock is on the left of a lamp.,20,60.0,12,4,33.33
65,A lamp is on the right of a clock.,20,55.0,11,5,45.45
66,A clock is on the right of a lamp.,20,75.0,15,8,53.33
67,A lamp is on the left of a clock.,20,85.0,17,13,76.47
68,A pizza is on the left of a salad.,20,35.0,7,6,85.71
69,A salad is on the right of a pizza.,20,40.0,8,4,50.0
70,A pizza is on the right of a salad.,20,55.0,11,4,36.36
